run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
facebook_react-native_20060992639,facebook_react-native,20060992639,98,98,305517705,3117527.602040816,3487,3237,0,250,0,0,0
facebook_react-native_20062059813,facebook_react-native,20062059813,114,114,350745804,3076717.5789473685,3756,3498,2,256,0,0,0
facebook_react-native_20064416330,facebook_react-native,20064416330,116,116,350583536,3022271.8620689656,3683,3425,2,256,0,0,0
facebook_react-native_20066087619,facebook_react-native,20066087619,114,114,350683915,3076174.692982456,3616,3358,2,256,0,0,0
facebook_react-native_20066953199,facebook_react-native,20066953199,114,114,344227017,3019535.236842105,3664,3382,2,280,0,0,0
facebook_react-native_20068706942,facebook_react-native,20068706942,114,114,350489762,3074471.596491228,3807,3549,2,256,0,0,0
facebook_react-native_20068761373,facebook_react-native,20068761373,110,110,344609833,3132816.6636363636,3819,3555,2,262,0,0,0
facebook_react-native_20068941772,facebook_react-native,20068941772,114,114,350087987,3070947.254385965,3733,3475,2,256,0,0,0
facebook_react-native_20069452881,facebook_react-native,20069452881,114,114,350239041,3072272.289473684,3656,3398,2,256,0,0,0
facebook_react-native_20070939759,facebook_react-native,20070939759,114,114,350187167,3071817.254385965,3735,3478,1,256,0,0,0
facebook_react-native_20070959143,facebook_react-native,20070959143,2,2,77868,38934.0,2,2,0,0,0,0,0
facebook_react-native_20072090745,facebook_react-native,20072090745,2,2,98552,49276.0,2,2,0,0,0,0,0
facebook_react-native_20073111134,facebook_react-native,20073111134,114,114,350450770,3074129.5614035088,3717,3459,2,256,0,0,0
facebook_react-native_20075414085,facebook_react-native,20075414085,2,2,17401,8700.5,1,1,0,0,0,0,0
facebook_react-native_20087306826,facebook_react-native,20087306826,10,10,815443,81544.3,30,30,0,0,0,0,0
facebook_react-native_20097011772,facebook_react-native,20097011772,114,114,341270076,2993597.1578947366,3702,3444,2,256,0,0,0
facebook_react-native_20097014113,facebook_react-native,20097014113,2,2,72847,36423.5,6,5,1,0,0,0,0
facebook_react-native_20099452452,facebook_react-native,20099452452,8,8,294841,36855.125,20,18,2,0,0,0,0
facebook_react-native_20101631388,facebook_react-native,20101631388,2,2,197673,98836.5,25,25,0,0,0,0,0
facebook_react-native_20101632390,facebook_react-native,20101632390,2,2,197025,98512.5,20,20,0,0,0,0,0
facebook_react-native_20101632533,facebook_react-native,20101632533,114,114,350519451,3074732.0263157897,3789,3531,2,256,0,0,0
facebook_react-native_20101633219,facebook_react-native,20101633219,2,2,197122,98561.0,38,38,0,0,0,0,0
facebook_react-native_20101633382,facebook_react-native,20101633382,114,114,350903740,3078102.98245614,3726,3468,2,256,0,0,0
facebook_react-native_20101634152,facebook_react-native,20101634152,2,2,196855,98427.5,18,18,0,0,0,0,0
facebook_react-native_20101635168,facebook_react-native,20101635168,112,112,312007495,2785781.2053571427,3354,3096,2,256,0,0,0
facebook_react-native_20101635633,facebook_react-native,20101635633,2,2,197082,98541.0,17,17,0,0,0,0,0
facebook_react-native_20101636205,facebook_react-native,20101636205,114,114,348047488,3053048.1403508773,3654,3396,2,256,0,0,0
facebook_react-native_20102072517,facebook_react-native,20102072517,6,6,143113,23852.166666666668,8,8,0,0,0,0,0
